Wall time,Step,Value
1651558208.369926,250,277.0
1651558214.407565,300,289.0
1651558236.878791,500,302.6666564941406
1651558242.270877,550,297.3333435058594
1651558254.342398,650,301.6666564941406
1651558261.195723,700,329.3333435058594
1651558266.88724,750,309.0
1651558278.243942,850,288.0
1651558284.816785,900,321.0
1651558289.46406,950,271.0
1651558295.680451,1000,303.3333435058594
1651558320.187734,1200,299.0
1651558370.961698,1650,322.6666564941406
1651558376.962132,1700,286.6666564941406
1651558387.592166,1800,273.6666564941406
1651558403.671203,1950,262.3333435058594
1651558410.324863,2000,321.3333435058594
1651558422.596235,2100,327.0
1651558434.21002,2200,298.0
1651558439.264204,2250,285.6666564941406
1651558451.948634,2350,343.3333435058594
1651558464.191513,2450,330.6666564941406
1651558470.028681,2500,300.0
1651558488.521788,2650,351.6666564941406
1651558494.8926,2700,314.0
1651558500.973327,2750,334.3333435058594
1651558507.564032,2800,327.6666564941406
1651558512.948423,2850,294.0
1651558531.954719,3000,340.0
1651558538.149463,3050,343.6666564941406
1651558551.622185,3150,358.0
1651558563.658517,3250,334.0
1651558570.414358,3300,328.3333435058594
1651558575.952736,3350,330.6666564941406
1651558582.25353,3400,306.6666564941406
1651558600.020463,3550,312.0
1651558606.784532,3600,331.3333435058594
1651558613.033908,3650,339.6666564941406
1651558619.901166,3700,337.0
1651558633.315175,3800,340.3333435058594
1651558651.658025,3950,343.3333435058594
1651558684.173359,4200,312.6666564941406
1651558690.19197,4250,345.0
1651558696.56844,4300,331.3333435058594
1651558702.974066,4350,364.0
1651558710.332461,4400,357.3333435058594
1651558716.805467,4450,356.0
1651558750.227695,4700,350.0
1651558801.924048,5100,326.0
1651558822.451715,5250,393.6666564941406
1651558829.052413,5300,323.3333435058594
1651558872.528695,5650,327.3333435058594
1651558892.652524,5800,369.0
1651558903.63803,5900,285.3333435058594
1651558910.318638,5950,376.0
1651558916.542079,6000,326.0
1651558941.067493,6200,319.6666564941406
1651558946.612542,6250,337.0
1651558954.790319,6300,396.3333435058594
1651558975.404608,6450,349.3333435058594
1651558983.005446,6500,373.6666564941406
1651559001.856351,6650,329.3333435058594
1651559028.235023,6850,342.6666564941406
1651559041.498989,6950,347.3333435058594
1651559054.240946,7050,326.6666564941406
1651559060.732482,7100,308.6666564941406
1651559067.019655,7150,335.0
1651559073.985889,7200,341.3333435058594
1651559097.495774,7400,320.6666564941406
1651559109.718787,7500,325.0
1651559129.288202,7650,369.3333435058594
1651559135.646642,7700,308.0
1651559141.422558,7750,347.6666564941406
1651559154.712392,7850,353.0
1651559161.208128,7900,334.3333435058594
1651559167.907307,7950,368.3333435058594
1651559186.901609,8100,315.0
1651559201.132064,8200,380.0
1651559207.176358,8250,342.0
1651559222.260154,8350,387.3333435058594
1651559229.475163,8400,347.0
1651559248.361937,8550,367.3333435058594
1651559282.379505,8800,324.3333435058594
1651559289.532862,8850,408.0
1651559296.127426,8900,316.6666564941406
1651559308.672154,9000,342.6666564941406
1651559313.793239,9050,312.0
1651559326.709776,9150,310.0
1651559339.086864,9250,302.3333435058594
1651559345.95737,9300,335.3333435058594
1651559351.399162,9350,306.0
1651559358.213642,9400,353.0
1651559370.549559,9500,317.0
1651559376.524729,9550,331.0
1651559420.556669,9900,337.3333435058594
1651559445.017372,10100,307.0
1651559470.566061,10300,350.0
1651559476.814702,10350,348.6666564941406
1651559482.923325,10400,319.0
1651559506.36771,10600,355.3333435058594
1651559524.108149,10750,327.0
1651559543.308428,10900,340.0
1651559549.334359,10950,365.3333435058594
1651559568.281951,11100,344.0
1651559574.529852,11150,358.6666564941406
1651559587.338955,11250,326.6666564941406
1651559593.520008,11300,321.0
1651559599.694457,11350,338.6666564941406
1651559611.987358,11450,349.3333435058594
1651559617.952088,11500,287.3333435058594
1651559630.257218,11600,352.3333435058594
1651559636.202841,11650,328.6666564941406
1651559644.021733,11700,376.3333435058594
1651559662.713546,11850,338.0
1651559681.608755,12000,344.0
1651559710.603105,12250,307.0
1651559722.365062,12350,339.0
1651559734.187279,12450,289.3333435058594
1651559740.596781,12500,313.6666564941406
1651559770.258142,12750,347.6666564941406
1651559788.173462,12900,289.3333435058594
1651559793.678795,12950,336.0
1651559800.348377,13000,346.3333435058594
1651559806.24232,13050,352.0
1651559819.604511,13150,366.3333435058594
1651559844.960187,13350,336.0
1651559856.217317,13450,322.0
1651559869.879725,13550,355.0
1651559881.451527,13650,292.0
1651559912.019266,13900,319.3333435058594
1651559923.392602,14000,330.0
1651559948.035191,14200,351.6666564941406
1651559979.56089,14450,367.6666564941406
1651559993.764798,14550,348.3333435058594
