Wall time,Step,Value
1651558208.369909,250,-4.5904901213589255e-08
1651558214.407551,300,-5.719845930229894e-08
1651558236.878576,500,-1.260362569865947e-08
1651558242.270664,550,-0.0
1651558254.342382,650,2.107567631526308e-08
1651558261.19571,700,-7.722059436332529e-09
1651558266.887223,750,-0.0
1651558278.243927,850,-1.081713918438254e-07
1651558284.816772,900,7.922528055814837e-08
1651558289.464021,950,1.1495705365405229e-07
1651558295.680397,1000,-5.239968814407803e-08
1651558320.187716,1200,-4.4653646114056755e-08
1651558370.961374,1650,2.7585619477576984e-07
1651558376.962114,1700,1.1532805643810207e-07
1651558387.592132,1800,-8.363526404764343e-08
1651558403.670973,1950,-2.9082825037107796e-08
1651558410.324815,2000,-2.374292940032774e-08
1651558422.59622,2100,3.3004326382979343e-07
1651558434.209996,2200,-1.1947597045036673e-07
1651558439.264171,2250,-3.115855307100901e-08
1651558451.948617,2350,2.5925126934112086e-08
1651558464.191466,2450,-9.613652096618353e-09
1651558470.028665,2500,-1.059638137235197e-07
1651558488.521771,2650,6.870070734521505e-08
1651558494.892582,2700,-3.2396581417515335e-08
1651558500.973311,2750,-1.3644293517245387e-07
1651558507.564005,2800,-5.044869055836898e-08
1651558512.948381,2850,1.557019260189918e-07
1651558531.954671,3000,-7.760291254044205e-08
1651558538.14942,3050,-8.509994131600251e-08
1651558551.62216,3150,1.8292077186288225e-07
1651558563.658462,3250,2.8553122533026e-08
1651558570.414343,3300,-5.809183534211115e-08
1651558575.952695,3350,2.3409243965488713e-07
1651558582.253516,3400,-1.2439230090421916e-08
1651558600.020448,3550,-1.2634147594781098e-07
1651558606.784512,3600,1.6885984166492563e-07
1651558613.033892,3650,1.1230707919196448e-08
1651558619.900949,3700,-2.6412344311665947e-08
1651558633.315156,3800,2.092292277211527e-07
1651558651.657967,3950,-1.7777229288640228e-07
1651558684.173316,4200,-2.4146871169250517e-08
1651558690.191688,4250,-4.607122239264072e-09
1651558696.568412,4300,1.4967122297093738e-07
1651558702.974,4350,3.4933125281355615e-09
1651558710.332164,4400,-1.4233944689578948e-08
1651558716.805451,4450,-6.786446249407163e-08
1651558750.227679,4700,-1.344226632227219e-07
1651558801.923851,5100,-1.560203344297406e-08
1651558822.451699,5250,1.2274216487639933e-07
1651558829.052386,5300,7.865355478031688e-09
1651558872.528633,5650,1.4761558020381926e-07
1651558892.652503,5800,3.445977725391458e-09
1651558903.638014,5900,-1.1141055011876233e-07
1651558910.318621,5950,-2.9590959016445595e-08
1651558916.542038,6000,-2.3403050164461092e-08
1651558941.06743,6200,9.54668735175801e-08
1651558946.612487,6250,-7.593548900786118e-08
1651558954.790271,6300,4.4916536268146956e-08
1651558975.404559,6450,8.917946558995027e-08
1651558983.005431,6500,4.764117988997896e-08
1651559001.85631,6650,1.4478861443123492e-09
1651559028.234972,6850,1.1132384791778804e-08
1651559041.498691,6950,7.321875727939187e-08
1651559054.240931,7050,-3.892548061656953e-09
1651559060.732465,7100,-1.5345300141689222e-07
1651559067.019642,7150,-7.401651203053916e-08
1651559073.985869,7200,4.0046870708465576e-08
1651559097.495573,7400,-1.457277818417424e-07
1651559109.71872,7500,1.154190485408435e-07
1651559129.288155,7650,-7.057878548266672e-08
1651559135.646603,7700,9.908304576811133e-08
1651559141.422495,7750,-1.5361196403773647e-07
1651559154.712379,7850,-1.5849545320634206e-07
1651559161.208066,7900,-1.4452491825522884e-07
1651559167.907252,7950,-1.5534967090502505e-08
1651559186.901593,8100,-1.6954210479980247e-07
1651559201.132036,8200,-5.5212723282238585e-08
1651559207.176308,8250,-8.737367096500748e-08
1651559222.260131,8350,-1.9451016441962565e-07
1651559229.475142,8400,-3.2980093322976245e-08
1651559248.36191,8550,3.470266847216408e-07
1651559282.379449,8800,-1.7250430062176747e-07
1651559289.532848,8850,-1.2154673356690182e-07
1651559296.127214,8900,1.5158401822645828e-07
1651559308.672094,9000,4.081874394046281e-08
1651559313.793204,9050,1.630212587144797e-08
1651559326.709727,9150,2.2970219504259148e-07
1651559339.086663,9250,6.781917960552164e-08
1651559345.957312,9300,6.825501941420953e-08
1651559351.399135,9350,-1.6621774179270687e-08
1651559358.213626,9400,7.204338459132487e-08
1651559370.549499,9500,-2.2061866999933955e-08
1651559376.524714,9550,-7.29901827867252e-08
1651559420.556425,9900,-7.5389277043314e-09
1651559445.017169,10100,-1.1804437605178464e-07
1651559470.566,10300,2.1798269855821673e-08
1651559476.814682,10350,7.293876169711666e-09
1651559482.923309,10400,7.972198901029515e-09
1651559506.367648,10600,2.39760510112319e-07
1651559524.108112,10750,-9.211074569748234e-08
1651559543.308388,10900,2.2065405858029408e-07
1651559549.334344,10950,-2.0883378581970646e-08
1651559568.281935,11100,5.914259304518055e-08
1651559574.529825,11150,-4.9633609222610175e-08
1651559587.338891,11250,2.1895583124376117e-09
1651559593.519948,11300,3.565137518535266e-08
1651559599.694429,11350,-9.386558019741642e-08
1651559611.987342,11450,5.095969513035925e-08
1651559617.952075,11500,6.804057051112977e-08
1651559630.257176,11600,-2.490199619842315e-07
1651559636.202823,11650,-6.190177970211153e-08
1651559644.021421,11700,-2.3229445034189666e-08
1651559662.713525,11850,-7.52405782122878e-09
1651559681.608616,12000,-5.174976891453298e-08
1651559710.603089,12250,6.212862047050294e-08
1651559722.365006,12350,6.5641301283392295e-09
1651559734.187251,12450,4.175072021439519e-08
1651559740.596765,12500,-2.4728643666094285e-07
1651559770.257935,12750,-4.3889134104802e-08
1651559788.173445,12900,-3.340057617151615e-07
1651559793.678735,12950,4.6832219879888726e-08
1651559800.348341,13000,7.343016861227625e-09
1651559806.242188,13050,-8.12790617032988e-08
1651559819.604496,13150,-1.1454505255414915e-07
1651559844.960145,13350,3.7844221090210795e-09
1651559856.217256,13450,4.936202557814795e-08
1651559869.879713,13550,-5.372812950099615e-08
1651559881.451471,13650,7.838418980554707e-08
1651559912.019229,13900,7.26703817122143e-08
1651559923.392586,14000,-1.5412918941137832e-08
1651559948.03515,14200,-2.711870017435558e-08
1651559979.560875,14450,-1.5908982220480539e-07
1651559993.764763,14550,8.030941955894377e-08
1651560001.865029,14600,2.360997441996915e-08
1651560020.529056,14750,-6.929513318709724e-08
1651560034.156002,14850,-1.9754123670168156e-08
1651560042.197801,14900,8.462639300432784e-08
1651560048.359138,14950,-3.421253325086582e-08
1651560061.015955,15050,-3.62958836319649e-08
1651560067.907597,15100,-2.6464698521522223e-07
1651560074.198933,15150,-9.03480952274549e-08
1651560097.691217,15350,-1.887480394202612e-08
1651560104.284576,15400,6.85164067704136e-08
1651560118.492867,15500,-1.1271497157849808e-07
1651560137.769345,15650,-7.461955675580612e-08
1651560162.794454,15850,-2.5147957671833865e-07
1651560169.240267,15900,7.335956553333745e-08
1651560174.544486,15950,-4.344757797980492e-08
1651560180.996326,16000,-1.2299371299206996e-08
1651560193.779801,16100,1.7331846891011082e-07
1651560211.552774,16250,-7.381997590982792e-08
1651560218.04598,16300,-1.497427781771421e-08
1651560222.570869,16350,5.049539097967681e-08
1651560242.661813,16500,3.765742828676366e-09
1651560248.28915,16550,2.678056603144796e-07
1651560260.687992,16650,-1.5092768990143668e-07
1651560298.390747,16950,3.369873935454848e-09
1651560311.084865,17050,7.5389277043314e-09
1651560330.076741,17200,1.0826955332277066e-08
1651560335.872199,17250,4.62165246517543e-07
1651560348.890671,17350,8.813577778710169e-08
1651560354.574495,17400,3.964713357618166e-08
1651560383.866337,17650,9.10277364596368e-08
